day,return_bin,regime
678,small_gain,high_vol
679,flat,low_vol
680,flat,low_vol
681,flat,low_vol
682,small_gain,low_vol
683,flat,low_vol
684,flat,low_vol
685,small_gain,high_vol
686,flat,high_vol
687,small_gain,high_vol
688,large_drop,high_vol
689,large_gain,high_vol
690,large_gain,high_vol
691,small_gain,high_vol
692,flat,low_vol
693,small_gain,low_vol
694,flat,low_vol
695,large_gain,low_vol
696,flat,low_vol
697,small_gain,low_vol
698,flat,low_vol
699,flat,low_vol
700,flat,low_vol
701,flat,low_vol
702,small_gain,low_vol
703,flat,low_vol
704,flat,low_vol
705,small_gain,low_vol
706,small_drop,low_vol
707,flat,low_vol
708,small_drop,low_vol
709,flat,low_vol
710,small_gain,low_vol
711,flat,low_vol
712,flat,low_vol
713,small_gain,low_vol
714,small_gain,low_vol
715,small_drop,low_vol
716,small_gain,low_vol
717,flat,low_vol
718,flat,low_vol
719,large_gain,low_vol
720,flat,low_vol
721,flat,low_vol
722,flat,low_vol
723,flat,low_vol
724,flat,low_vol
725,flat,low_vol
726,flat,low_vol
727,large_gain,low_vol
728,small_gain,low_vol
729,large_gain,low_vol
730,flat,low_vol
731,small_gain,low_vol
732,large_drop,low_vol
733,flat,low_vol
734,flat,low_vol
735,flat,low_vol
736,large_gain,low_vol
737,small_drop,low_vol
738,small_gain,low_vol
739,small_drop,low_vol
740,flat,low_vol
741,flat,low_vol
742,small_gain,low_vol
743,small_gain,low_vol
744,flat,low_vol
745,small_gain,low_vol
746,flat,low_vol
747,large_drop,low_vol
748,flat,low_vol
749,flat,low_vol
750,large_gain,low_vol
751,flat,low_vol
752,flat,low_vol
753,small_gain,low_vol
754,small_gain,low_vol
755,small_gain,low_vol
756,large_gain,low_vol
757,flat,low_vol
758,flat,low_vol
759,flat,low_vol
760,flat,low_vol
761,flat,low_vol
762,small_drop,low_vol
763,large_drop,low_vol
764,flat,low_vol
765,flat,low_vol
766,small_gain,low_vol
767,small_drop,low_vol
768,flat,low_vol
769,flat,low_vol
770,flat,low_vol
771,small_gain,low_vol
772,flat,low_vol
773,small_gain,low_vol
774,small_drop,low_vol
775,small_gain,low_vol
776,flat,low_vol
777,small_gain,low_vol
778,flat,low_vol
779,small_gain,low_vol
780,small_gain,low_vol
781,small_drop,low_vol
782,flat,low_vol
783,small_gain,low_vol
784,flat,low_vol
785,small_gain,low_vol
786,small_drop,low_vol
787,small_drop,low_vol
788,small_gain,low_vol
789,small_gain,low_vol
790,small_drop,low_vol
791,flat,low_vol
792,small_gain,low_vol
793,flat,low_vol
794,small_gain,low_vol
795,small_gain,low_vol
796,large_drop,low_vol
797,flat,low_vol
798,flat,low_vol
799,large_gain,low_vol
800,flat,low_vol
801,large_drop,low_vol
802,flat,low_vol
803,large_gain,high_vol
804,large_drop,high_vol
805,large_gain,high_vol
806,large_gain,high_vol
807,large_drop,high_vol
808,large_gain,high_vol
809,small_gain,high_vol
810,large_drop,high_vol
811,large_gain,high_vol
812,large_drop,high_vol
813,small_gain,high_vol
814,large_gain,high_vol
815,small_gain,high_vol
816,flat,high_vol
817,large_gain,high_vol
818,small_drop,high_vol
819,large_gain,high_vol
820,small_drop,high_vol
821,small_drop,high_vol
822,large_drop,high_vol
823,large_gain,high_vol
824,small_drop,high_vol
825,small_drop,high_vol
826,small_drop,high_vol
827,small_gain,high_vol
828,small_gain,high_vol
829,large_gain,high_vol
830,small_drop,high_vol
831,small_gain,high_vol
832,flat,high_vol
833,flat,high_vol
834,large_drop,high_vol
835,small_drop,high_vol
836,small_gain,high_vol
837,flat,high_vol
838,large_gain,high_vol
839,small_drop,high_vol
840,flat,high_vol
841,large_gain,high_vol
842,large_gain,high_vol
843,flat,high_vol
844,flat,high_vol
845,flat,high_vol
846,flat,high_vol
847,small_drop,high_vol
848,flat,high_vol
849,small_drop,high_vol
850,small_drop,high_vol
851,large_gain,high_vol
852,large_drop,high_vol
853,large_drop,high_vol
854,flat,high_vol
855,large_gain,high_vol
856,large_drop,high_vol
857,small_gain,high_vol
858,small_gain,high_vol
859,large_gain,high_vol
860,large_gain,high_vol
861,small_drop,low_vol
862,small_gain,low_vol
863,flat,low_vol
864,flat,low_vol
865,flat,low_vol
866,small_drop,low_vol
867,flat,low_vol
868,flat,low_vol
869,flat,low_vol
870,flat,low_vol
871,flat,low_vol
872,small_gain,low_vol
873,flat,low_vol
874,flat,low_vol
875,flat,low_vol
876,large_gain,low_vol
877,large_gain,low_vol
878,flat,low_vol
879,flat,low_vol
880,small_gain,low_vol
881,small_gain,low_vol
882,flat,low_vol
883,small_gain,low_vol
884,flat,low_vol
885,small_gain,low_vol
886,small_gain,low_vol
887,flat,low_vol
888,large_gain,low_vol
889,flat,low_vol
890,small_gain,low_vol
891,small_gain,low_vol
892,small_gain,low_vol
893,small_drop,low_vol
894,small_drop,low_vol
895,small_gain,low_vol
896,small_gain,low_vol
897,small_gain,low_vol
898,large_drop,low_vol
899,flat,low_vol
900,small_gain,low_vol
901,flat,low_vol
902,flat,low_vol
903,small_gain,low_vol
904,flat,low_vol
905,flat,low_vol
906,flat,low_vol
907,flat,low_vol
908,flat,low_vol
909,small_gain,low_vol
910,flat,low_vol
911,flat,low_vol
912,flat,low_vol
913,large_gain,low_vol
914,flat,low_vol
915,large_gain,low_vol
916,flat,low_vol
917,flat,low_vol
918,small_gain,low_vol
919,flat,low_vol
920,flat,low_vol
921,flat,low_vol
922,flat,low_vol
923,flat,low_vol
924,flat,low_vol
925,small_drop,low_vol
926,flat,low_vol
927,small_gain,low_vol
928,flat,low_vol
929,large_gain,low_vol
930,flat,low_vol
931,large_gain,low_vol
932,large_gain,low_vol
933,flat,low_vol
934,large_gain,low_vol
935,flat,low_vol
936,flat,low_vol
937,flat,low_vol
938,small_drop,low_vol
939,small_gain,low_vol
940,flat,low_vol
941,large_gain,low_vol
942,small_gain,low_vol
943,large_gain,low_vol
944,small_drop,low_vol
945,flat,low_vol
946,small_gain,low_vol
947,flat,low_vol
948,small_drop,low_vol
949,small_gain,low_vol
950,flat,low_vol
951,small_gain,low_vol
952,small_drop,low_vol
953,small_gain,low_vol
954,flat,low_vol
955,small_gain,low_vol
956,small_gain,low_vol
957,flat,low_vol
958,small_drop,low_vol
959,large_gain,low_vol
960,small_gain,low_vol
961,flat,low_vol
962,small_drop,low_vol
963,small_drop,low_vol
964,small_drop,low_vol
965,flat,low_vol
966,flat,low_vol
967,flat,low_vol
968,flat,low_vol
969,small_gain,low_vol
970,flat,low_vol
971,flat,low_vol
972,flat,low_vol
973,flat,low_vol
974,large_drop,low_vol
975,flat,low_vol
976,flat,low_vol
977,small_gain,low_vol
978,small_drop,low_vol
979,flat,low_vol
980,small_gain,low_vol
981,flat,low_vol
982,small_gain,low_vol
983,small_drop,low_vol
984,small_drop,low_vol
985,small_drop,low_vol
986,flat,low_vol
987,small_gain,low_vol
988,small_gain,low_vol
989,flat,low_vol
990,flat,low_vol
991,small_gain,low_vol
992,large_gain,low_vol
993,small_drop,low_vol
994,flat,low_vol
995,flat,low_vol
996,small_gain,low_vol
997,flat,low_vol
998,flat,low_vol
999,small_drop,low_vol
