food,service,location,share_poor,share_average,share_good,share_excellent
0.686842,0.777711,0.665296,0.003524,0.016944,0.462265,0.517266
0.705459,0.868095,0.127836,0.006071,0.086056,0.520846,0.387028
0.985791,0.037480,0.205540,0.002479,0.068500,0.666375,0.262646
0.824475,0.362456,0.180910,0.013874,0.044373,0.659550,0.282203
0.564946,0.494914,0.709556,0.034671,0.118715,0.418881,0.427733
0.975804,0.498047,0.239802,0.012574,0.068458,0.669697,0.249270
0.250791,0.633309,0.550397,0.007136,0.127766,0.514892,0.350206
0.445508,0.130766,0.930839,0.006452,0.083947,0.536438,0.373163
0.549717,0.332948,0.145397,0.000511,0.110499,0.590896,0.298093
0.072948,0.303448,0.536620,0.108954,0.165148,0.509506,0.216391
